date,selected,entering,exiting,n_trades,transaction_cost,gross_return,net_return,proba_selected,adj_proba_selected,weight_per_stock
2023-01-06,BRK-B | V,BRK-B | V,—,2,0.001000,0.010545,0.009545,"{'BRK-B': np.float32(0.95), 'V': np.float32(0.95)}","{'BRK-B': np.float32(0.95), 'V': np.float32(0.95)}",0.500000
2023-01-13,BRK-B | JNJ,JNJ,V,2,0.001000,-0.025752,-0.026752,"{'BRK-B': np.float32(0.95), 'JNJ': np.float32(0.95)}","{'BRK-B': np.float32(0.99), 'JNJ': np.float32(0.95)}",0.500000
2023-01-20,BRK-B | V,V,JNJ,2,0.001000,0.014764,0.013764,"{'BRK-B': np.float32(0.95), 'V': np.float32(0.95)}","{'BRK-B': np.float32(0.99), 'V': np.float32(0.95)}",0.500000
2023-01-27,BRK-B | V,—,—,0,0.000000,-0.003898,-0.003898,"{'BRK-B': np.float32(0.85), 'V': np.float32(0.85)}","{'BRK-B': np.float32(0.89), 'V': np.float32(0.89)}",0.500000
2023-02-03,BRK-B | GOOGL,GOOGL,V,2,0.001000,-0.046485,-0.047485,"{'BRK-B': np.float32(0.95), 'GOOGL': np.float32(0.95)}","{'BRK-B': np.float32(0.99), 'GOOGL': np.float32(0.95)}",0.500000
2023-02-10,JPM | V,JPM | V,BRK-B | GOOGL,4,0.002000,-0.003757,-0.005757,"{'JPM': np.float32(0.95), 'V': np.float32(0.95)}","{'JPM': np.float32(0.95), 'V': np.float32(0.95)}",0.500000
2023-02-17,JPM | V,—,—,0,0.000000,-0.013573,-0.013573,"{'JPM': np.float32(0.9), 'V': np.float32(0.9)}","{'JPM': np.float32(0.94), 'V': np.float32(0.94)}",0.500000
2023-02-24,JPM | V,—,—,0,0.000000,0.019296,0.019296,"{'JPM': np.float32(0.9), 'V': np.float32(0.9)}","{'JPM': np.float32(0.94), 'V': np.float32(0.94)}",0.500000
2023-03-03,JPM | V,—,—,0,0.000000,-0.051888,-0.051888,"{'JPM': np.float32(0.9), 'V': np.float32(0.9)}","{'JPM': np.float32(0.94), 'V': np.float32(0.94)}",0.500000
2023-03-10,JPM | V,—,—,0,0.000000,-0.026439,-0.026439,"{'JPM': np.float32(0.7), 'V': np.float32(0.7)}","{'JPM': np.float32(0.74), 'V': np.float32(0.74)}",0.500000
2023-03-17,AAPL | MSFT,AAPL | MSFT,JPM | V,4,0.002000,0.018975,0.016975,"{'AAPL': np.float32(0.95), 'MSFT': np.float32(0.95)}","{'AAPL': np.float32(0.95), 'MSFT': np.float32(0.95)}",0.500000
2023-03-24,JNJ | V,JNJ | V,AAPL | MSFT,4,0.002000,0.017696,0.015696,"{'JNJ': np.float32(0.9), 'V': np.float32(1.0)}","{'JNJ': np.float32(0.9), 'V': np.float32(1.0)}",0.500000
2023-03-31,AMZN | V,AMZN,JNJ,2,0.001000,-0.004779,-0.005779,"{'AMZN': np.float32(0.9), 'V': np.float32(0.9)}","{'AMZN': np.float32(0.9), 'V': np.float32(0.94)}",0.500000
2023-04-07,MSFT | V,MSFT,AMZN,2,0.001000,0.008404,0.007404,"{'MSFT': np.float32(1.0), 'V': np.float32(0.9)}","{'MSFT': np.float32(1.0), 'V': np.float32(0.94)}",0.500000
2023-04-14,JPM | V,JPM,MSFT,2,0.001000,0.006587,0.005587,"{'JPM': np.float32(0.9), 'V': np.float32(1.0)}","{'JPM': np.float32(0.9), 'V': np.float32(1.04)}",0.500000
2023-04-21,BRK-B | MSFT,BRK-B | MSFT,JPM | V,4,0.002000,0.044125,0.042125,"{'BRK-B': np.float32(0.9), 'MSFT': np.float32(1.0)}","{'BRK-B': np.float32(0.9), 'MSFT': np.float32(1.0)}",0.500000
2023-04-28,META | MSFT,META,BRK-B,2,0.001000,-0.010171,-0.011171,"{'META': np.float32(0.95), 'MSFT': np.float32(0.95)}","{'META': np.float32(0.95), 'MSFT': np.float32(0.99)}",0.500000
2023-05-05,AAPL | V,AAPL | V,META | MSFT,4,0.002000,-0.002083,-0.004083,"{'AAPL': np.float32(0.95), 'V': np.float32(0.95)}","{'AAPL': np.float32(0.95), 'V': np.float32(0.95)}",0.500000
2023-05-12,AMZN | GOOGL,AMZN | GOOGL,AAPL | V,4,0.002000,0.049502,0.047502,"{'AMZN': np.float32(0.95), 'GOOGL': np.float32(0.95)}","{'AMZN': np.float32(0.95), 'GOOGL': np.float32(0.95)}",0.500000
2023-05-19,AAPL | MSFT,AAPL | MSFT,AMZN | GOOGL,4,0.002000,0.023624,0.021624,"{'AAPL': np.float32(0.9), 'MSFT': np.float32(0.9)}","{'AAPL': np.float32(0.9), 'MSFT': np.float32(0.9)}",0.500000
2023-05-26,JNJ | V,JNJ | V,AAPL | MSFT,4,0.002000,0.016887,0.014887,"{'JNJ': np.float32(0.9), 'V': np.float32(1.0)}","{'JNJ': np.float32(0.9), 'V': np.float32(1.0)}",0.500000
2023-06-02,JNJ | V,—,—,0,0.000000,-0.001746,-0.001746,"{'JNJ': np.float32(0.85), 'V': np.float32(1.0)}","{'JNJ': np.float32(0.89), 'V': np.float32(1.04)}",0.500000
2023-06-09,JNJ | JPM,JPM,V,2,0.001000,0.021165,0.020165,"{'JNJ': np.float32(0.95), 'JPM': np.float32(0.95)}","{'JNJ': np.float32(0.99), 'JPM': np.float32(0.95)}",0.500000
2023-06-16,AAPL | JNJ,AAPL,JPM,2,0.001000,0.008564,0.007564,"{'AAPL': np.float32(0.9), 'JNJ': np.float32(1.0)}","{'AAPL': np.float32(0.9), 'JNJ': np.float32(1.04)}",0.500000
2023-06-23,AAPL | JPM,JPM,JNJ,2,0.001000,0.043256,0.042256,"{'AAPL': np.float32(0.75), 'JPM': np.float32(1.0)}","{'AAPL': np.float32(0.79), 'JPM': np.float32(1.0)}",0.500000
2023-06-30,GOOGL | JPM,GOOGL,AAPL,2,0.001000,-0.001293,-0.002293,"{'GOOGL': np.float32(1.0), 'JPM': np.float32(0.75)}","{'GOOGL': np.float32(1.0), 'JPM': np.float32(0.79)}",0.500000
2023-07-07,AMZN | BRK-B,AMZN | BRK-B,GOOGL | JPM,4,0.002000,0.019157,0.017157,"{'AMZN': np.float32(0.9), 'BRK-B': np.float32(1.0)}","{'AMZN': np.float32(0.9), 'BRK-B': np.float32(1.0)}",0.500000
2023-07-14,AMZN | BRK-B,—,—,0,0.000000,-0.010529,-0.010529,"{'AMZN': np.float32(0.9), 'BRK-B': np.float32(1.0)}","{'AMZN': np.float32(0.94), 'BRK-B': np.float32(1.04)}",0.500000
2023-07-21,BRK-B | MSFT,MSFT,AMZN,2,0.001000,-0.001997,-0.002997,"{'BRK-B': np.float32(1.0), 'MSFT': np.float32(0.9)}","{'BRK-B': np.float32(1.04), 'MSFT': np.float32(0.9)}",0.500000
2023-07-28,GOOGL | V,GOOGL | V,BRK-B | MSFT,4,0.002000,-0.009986,-0.011986,"{'GOOGL': np.float32(0.9), 'V': np.float32(1.0)}","{'GOOGL': np.float32(0.9), 'V': np.float32(1.0)}",0.500000
2023-08-04,AAPL | MSFT,AAPL | MSFT,GOOGL | V,4,0.002000,-0.021207,-0.023207,"{'AAPL': np.float32(0.9), 'MSFT': np.float32(1.0)}","{'AAPL': np.float32(0.9), 'MSFT': np.float32(1.0)}",0.500000
2023-08-11,BRK-B | V,BRK-B | V,AAPL | MSFT,4,0.002000,-0.011974,-0.013974,"{'BRK-B': np.float32(1.0), 'V': np.float32(0.9)}","{'BRK-B': np.float32(1.0), 'V': np.float32(0.9)}",0.500000
2023-08-18,BRK-B | JPM,JPM,V,2,0.001000,-0.001665,-0.002665,"{'BRK-B': np.float32(1.0), 'JPM': np.float32(0.9)}","{'BRK-B': np.float32(1.04), 'JPM': np.float32(0.9)}",0.500000
2023-08-25,JPM | V,V,BRK-B,2,0.001000,0.010637,0.009637,"{'JPM': np.float32(0.9), 'V': np.float32(1.0)}","{'JPM': np.float32(0.94), 'V': np.float32(1.0)}",0.500000
2023-09-01,GOOGL | V,GOOGL,JPM,2,0.001000,0.001001,0.000001,"{'GOOGL': np.float32(0.9), 'V': np.float32(1.0)}","{'GOOGL': np.float32(0.9), 'V': np.float32(1.04)}",0.500000
2023-09-08,META | V,META,GOOGL,2,0.001000,-0.008514,-0.009514,"{'META': np.float32(0.9), 'V': np.float32(1.0)}","{'META': np.float32(0.9), 'V': np.float32(1.04)}",0.500000
2023-09-15,AMZN | V,AMZN,META,2,0.001000,-0.052562,-0.053562,"{'AMZN': np.float32(0.9), 'V': np.float32(1.0)}","{'AMZN': np.float32(0.9), 'V': np.float32(1.04)}",0.500000
2023-09-22,BRK-B | GOOGL,BRK-B | GOOGL,AMZN | V,4,0.002000,-0.011347,-0.013347,"{'BRK-B': np.float32(0.9), 'GOOGL': np.float32(1.0)}","{'BRK-B': np.float32(0.9), 'GOOGL': np.float32(1.0)}",0.500000
2023-09-29,AAPL | BRK-B,AAPL,GOOGL,2,0.001000,0.012688,0.011688,"{'AAPL': np.float32(1.0), 'BRK-B': np.float32(0.9)}","{'AAPL': np.float32(1.0), 'BRK-B': np.float32(0.94)}",0.500000
2023-10-06,BRK-B | JPM,JPM,AAPL,2,0.001000,0.008188,0.007188,"{'BRK-B': np.float32(0.95), 'JPM': np.float32(0.95)}","{'BRK-B': np.float32(0.99), 'JPM': np.float32(0.95)}",0.500000
2023-10-13,BRK-B | META,META,JPM,2,0.001000,-0.022970,-0.023970,"{'BRK-B': np.float32(0.9), 'META': np.float32(1.0)}","{'BRK-B': np.float32(0.94), 'META': np.float32(1.0)}",0.500000
2023-10-20,GOOGL | META,GOOGL,BRK-B,2,0.001000,-0.068831,-0.069831,"{'GOOGL': np.float32(1.0), 'META': np.float32(0.9)}","{'GOOGL': np.float32(1.0), 'META': np.float32(0.94)}",0.500000
2023-10-27,JNJ | JPM,JNJ | JPM,GOOGL | META,4,0.002000,0.046648,0.044648,"{'JNJ': np.float32(1.0), 'JPM': np.float32(0.9)}","{'JNJ': np.float32(1.0), 'JPM': np.float32(0.9)}",0.500000
