date,selected,entering,exiting,n_trades,transaction_cost,gross_return,net_return,proba_selected,adj_proba_selected,weight_per_stock
2023-01-06,BRK-B | JPM,BRK-B | JPM,—,2,0.001000,0.016730,0.015730,"{'BRK-B': np.float64(1.0), 'JPM': np.float64(0.9)}","{'BRK-B': np.float64(1.0), 'JPM': np.float64(0.9)}",0.500000
2023-01-13,BRK-B | JPM,—,—,0,0.000000,-0.039956,-0.039956,"{'BRK-B': np.float64(0.5), 'JPM': np.float64(1.0)}","{'BRK-B': np.float64(1.0), 'JPM': np.float64(1.5)}",0.500000
2023-01-20,BRK-B | JPM,—,—,0,0.000000,0.018266,0.018266,"{'BRK-B': np.float64(1.0), 'JPM': np.float64(0.8)}","{'BRK-B': np.float64(1.5), 'JPM': np.float64(1.3)}",0.500000
2023-01-27,JPM | MSFT,MSFT,BRK-B,2,0.001000,0.023275,0.022275,"{'JPM': np.float64(0.85), 'MSFT': np.float64(1.0)}","{'JPM': np.float64(1.35), 'MSFT': np.float64(1.0)}",0.500000
2023-02-03,GOOGL | META,GOOGL | META,JPM | MSFT,4,0.002000,-0.081906,-0.083906,"{'GOOGL': np.float64(0.9), 'META': np.float64(1.0)}","{'GOOGL': np.float64(0.9), 'META': np.float64(1.0)}",0.500000
2023-02-10,GOOGL | JPM,JPM,META,2,0.001000,0.003091,0.002091,"{'GOOGL': np.float64(0.55), 'JPM': np.float64(1.0)}","{'GOOGL': np.float64(1.05), 'JPM': np.float64(1.0)}",0.500000
2023-02-17,GOOGL | MSFT,MSFT,JPM,2,0.001000,-0.044791,-0.045791,"{'GOOGL': np.float64(0.8), 'MSFT': np.float64(1.0)}","{'GOOGL': np.float64(1.3), 'MSFT': np.float64(1.0)}",0.500000
2023-02-24,JPM | MSFT,JPM,GOOGL,2,0.001000,0.021864,0.020864,"{'JPM': np.float64(0.9), 'MSFT': np.float64(1.0)}","{'JPM': np.float64(0.9), 'MSFT': np.float64(1.5)}",0.500000
2023-03-03,AMZN | JPM,AMZN,MSFT,2,0.001000,-0.056810,-0.057810,"{'AMZN': np.float64(1.0), 'JPM': np.float64(0.55)}","{'AMZN': np.float64(1.0), 'JPM': np.float64(1.05)}",0.500000
2023-03-10,AMZN | JPM,—,—,0,0.000000,0.015969,0.015969,"{'AMZN': np.float64(0.7), 'JPM': np.float64(0.9)}","{'AMZN': np.float64(1.2), 'JPM': np.float64(1.4)}",0.500000
2023-03-17,AMZN | V,V,JPM,2,0.001000,0.004252,0.003252,"{'AMZN': np.float64(0.8), 'V': np.float64(1.0)}","{'AMZN': np.float64(1.3), 'V': np.float64(1.0)}",0.500000
2023-03-24,AMZN | V,—,—,0,0.000000,0.036290,0.036290,"{'AMZN': np.float64(0.8), 'V': np.float64(0.7)}","{'AMZN': np.float64(1.3), 'V': np.float64(1.2)}",0.500000
2023-03-31,AMZN | META,META,V,2,0.001000,0.003860,0.002860,"{'AMZN': np.float64(0.7), 'META': np.float64(1.0)}","{'AMZN': np.float64(1.2), 'META': np.float64(1.0)}",0.500000
2023-04-07,JPM | META,JPM,AMZN,2,0.001000,0.056638,0.055638,"{'JPM': np.float64(1.0), 'META': np.float64(0.8)}","{'JPM': np.float64(1.0), 'META': np.float64(1.3)}",0.500000
2023-04-14,JPM | META,—,—,0,0.000000,-0.012891,-0.012891,"{'JPM': np.float64(0.55), 'META': np.float64(0.8)}","{'JPM': np.float64(1.05), 'META': np.float64(1.3)}",0.500000
2023-04-21,GOOGL | META,GOOGL,JPM,2,0.001000,0.073578,0.072578,"{'GOOGL': np.float64(0.9), 'META': np.float64(1.0)}","{'GOOGL': np.float64(0.9), 'META': np.float64(1.5)}",0.500000
